Ref_Date,GEO,FORCE,NORTH,Vector,Coordinate,Value
2000/11,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,386.1
2000/12,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,361.9
2001/01,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,371.9
2001/02,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,372.1
2001/03,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,374.7
2001/04,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,396.6
2001/05,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,374.9
2001/06,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,383.9
2001/07,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,367.7
2001/08,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,365.3
2001/09,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,372.2
2001/10,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,367.5
2001/11,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,388.8
2001/12,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,419.9
2002/01,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,423.3
2002/02,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,408.8
2002/03,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,404.4
2002/04,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,390.6
2002/05,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,391.5
2002/06,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,397.3
2002/07,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,419.7
2002/08,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,387.6
2002/09,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,395.7
2002/10,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,384.2
2002/11,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,381.0
2002/12,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,398.8
2003/01,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,383.3
2003/02,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,385.7
2003/03,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,395.3
2003/04,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,380.6
2003/05,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,395.4
2003/06,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,393.5
2003/07,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,402.5
2003/08,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,416.8
2003/09,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,435.6
2003/10,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,401.8
2003/11,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,397.2
2003/12,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,392.6
2004/01,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,395.1
2004/02,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,392.7
2004/03,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,389.7
2004/04,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,395.0
2004/05,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,382.3
2004/06,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,394.2
2004/07,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,368.4
2004/08,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,382.6
2004/09,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,381.6
2004/10,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,394.1
2004/11,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,398.3
2004/12,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,388.5
2005/01,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,380.6
2005/02,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,396.6
2005/03,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,389.5
2005/04,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,405.9
2005/05,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,408.0
2005/06,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,377.2
2005/07,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,373.1
2005/08,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,370.9
2005/09,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,375.8
2005/10,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,368.2
2005/11,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,350.5
2005/12,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,359.0
2006/01,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,363.3
2006/02,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,362.0
2006/03,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,340.6
2006/04,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,348.7
2006/05,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,350.3
2006/06,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,344.1
2006/07,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,374.6
2006/08,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,356.9
2006/09,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,366.5
2006/10,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,328.3
2006/11,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,343.7
2006/12,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,342.6
2007/01,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,347.3
2007/02,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,322.6
2007/03,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,328.9
2007/04,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,303.7
2007/05,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,298.1
2007/06,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,327.5
2007/07,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,336.1
2007/08,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,326.6
2007/09,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,324.5
2007/10,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,325.6
2007/11,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,313.7
2007/12,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,327.0
2008/01,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,316.8
2008/02,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,345.0
2008/03,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,345.6
2008/04,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,363.8
2008/05,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,335.0
2008/06,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,323.3
2008/07,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,322.3
2008/08,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,330.9
2008/09,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,322.5
2008/10,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,323.8
2008/11,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,352.4
2008/12,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,337.6
2009/01,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,351.4
2009/02,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,412.7
2009/03,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,427.6
2009/04,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,401.9
2009/05,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,412.4
2009/06,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,420.6
2009/07,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,443.2
2009/08,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,452.7
2009/09,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,449.4
2009/10,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,470.5
2009/11,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,507.4
2009/12,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,520.1
2010/01,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,505.6
2010/02,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,509.3
2010/03,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,531.5
2010/04,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,533.7
2010/05,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,539.0
2010/06,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,533.4
2010/07,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,535.1
2010/08,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,540.5
2010/09,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,551.8
2010/10,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,527.5
2010/11,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,519.3
2010/12,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,536.0
2011/01,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,556.4
2011/02,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,553.2
2011/03,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,540.5
2011/04,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,536.4
2011/05,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,541.7
2011/06,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,552.8
2011/07,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,540.4
2011/08,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,543.6
2011/09,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,535.7
2011/10,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,545.7
2011/11,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,551.3
2011/12,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,556.7
2012/01,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,581.3
2012/02,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,554.9
2012/03,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,531.9
2012/04,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,544.9
2012/05,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,550.5
2012/06,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,514.6
2012/07,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,523.0
2012/08,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,532.3
2012/09,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,537.2
2012/10,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,543.1
2012/11,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,531.2
2012/12,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,530.9
2013/01,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,510.6
2013/02,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,504.5
2013/03,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,540.0
2013/04,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,524.8
2013/05,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,516.4
2013/06,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,518.1
2013/07,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,510.6
2013/08,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,526.3
2013/09,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,509.6
2013/10,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,523.0
2013/11,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,498.6
2013/12,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,530.5
2014/01,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,507.5
2014/02,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,525.8
2014/03,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,508.9
2014/04,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,515.5
2014/05,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,500.9
2014/06,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,525.7
2014/07,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,530.2
2014/08,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,515.6
2014/09,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,520.2
2014/10,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,482.8
2014/11,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,483.7
2014/12,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,460.2
2015/01,Canada,Labour force,"Unclassified industries (x 1,000)",v41379803,1.1.20,479.2
1987/01,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12102.0
1987/02,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12131.4
1987/03,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12182.0
1987/04,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12229.5
1987/05,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12285.7
1987/06,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12319.4
1987/07,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12345.5
1987/08,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12376.2
1987/09,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12421.9
1987/10,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12487.4
1987/11,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12519.4
1987/12,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12583.3
1988/01,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12601.9
1988/02,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12642.6
1988/03,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12662.6
1988/04,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12676.0
1988/05,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12679.7
1988/06,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12698.1
1988/07,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12711.8
1988/08,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12720.0
1988/09,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12732.8
1988/10,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12765.0
1988/11,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12795.8
1988/12,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12849.4
1989/01,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12922.0
1989/02,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12936.8
1989/03,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12982.4
1989/04,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12959.9
1989/05,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12962.2
1989/06,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12979.4
1989/07,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12979.8
1989/08,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13029.1
1989/09,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13029.5
1989/10,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13034.5
1989/11,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13059.7
1989/12,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13066.8
1990/01,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13101.4
1990/02,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13134.9
1990/03,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13126.1
1990/04,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13141.3
1990/05,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13101.9
1990/06,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13134.4
1990/07,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13113.6
1990/08,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13100.3
1990/09,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13089.5
1990/10,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13039.3
1990/11,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12985.3
1990/12,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12934.7
1991/01,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12894.2
1991/02,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12845.1
1991/03,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12809.2
1991/04,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12850.7
1991/05,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12879.9
1991/06,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12886.3
1991/07,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12872.3
1991/08,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12876.2
1991/09,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12855.4
1991/10,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12861.0
1991/11,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12823.2
1991/12,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12810.2
1992/01,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12790.2
1992/02,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12771.3
1992/03,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12744.9
1992/04,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12730.9
1992/05,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12736.6
1992/06,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12717.3
1992/07,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12732.5
1992/08,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12693.7
1992/09,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12700.1
1992/10,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12713.0
1992/11,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12704.8
1992/12,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12721.9
1993/01,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12755.0
1993/02,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12763.2
1993/03,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12780.7
1993/04,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12748.8
1993/05,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12755.9
1993/06,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12780.0
1993/07,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12789.6
1993/08,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12808.1
1993/09,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12840.5
1993/10,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12825.3
1993/11,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12873.9
1993/12,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12848.4
1994/01,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12856.4
1994/02,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12889.5
1994/03,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12928.6
1994/04,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,12940.7
1994/05,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13012.4
1994/06,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13041.5
1994/07,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13098.5
1994/08,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13115.2
1994/09,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13176.9
1994/10,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13168.8
1994/11,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13259.2
1994/12,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13245.8
1995/01,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13269.5
1995/02,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13262.3
1995/03,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13290.5
1995/04,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13268.9
1995/05,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13265.8
1995/06,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13278.2
1995/07,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13280.6
1995/08,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13297.8
1995/09,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13331.2
1995/10,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13347.0
1995/11,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13315.0
1995/12,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13356.8
1996/01,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13374.5
1996/02,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13399.4
1996/03,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13377.2
1996/04,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13404.1
1996/05,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13425.6
1996/06,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13412.9
1996/07,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13440.4
1996/08,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13456.6
1996/09,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13414.4
1996/10,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13412.8
1996/11,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13441.5
1996/12,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13465.7
1997/01,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13535.9
1997/02,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13538.1
1997/03,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13569.8
1997/04,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13571.2
1997/05,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13637.2
1997/06,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13690.0
1997/07,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13731.5
1997/08,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13798.9
1997/09,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13816.0
1997/10,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13833.1
1997/11,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13859.5
1997/12,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13874.9
1998/01,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13864.8
1998/02,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13914.5
1998/03,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13949.4
1998/04,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13977.6
1998/05,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,13993.3
1998/06,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,14005.8
1998/07,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,14063.8
1998/08,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,14101.7
1998/09,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,14140.7
1998/10,Canada,Employment,"Total, all industries (x 1,000)",v13682073,1.2.1,14159.4
