industry,sector
"Information, culture and recreation","Independent Artists, Writers and Performers"
"Information, culture and recreation",Heritage Institutions
"Information, culture and recreation",Heritage Institutions
"Information, culture and recreation","Amusement, Gambling and Recreation Industries"
"Information, culture and recreation",Amusement Parks and Arcades
"Information, culture and recreation",Gambling Industries
"Information, culture and recreation",Other Amusement and Recreation Industries
"Finance, insurance, real estate, and leasing",Pension Funds
"Finance, insurance, real estate, and leasing",Other Funds and Financial Vehicles
"Finance, insurance, real estate, and leasing",Real Estate
"Finance, insurance, real estate, and leasing",Lessors of Real Estate
"Finance, insurance, real estate, and leasing",Offices of Real Estate Agents and Brokers
"Finance, insurance, real estate, and leasing",Activities Related to Real Estate
"Finance, insurance, real estate, and leasing",Rental and Leasing Services
"Finance, insurance, real estate, and leasing",Automotive Equipment Rental and Leasing
"Finance, insurance, real estate, and leasing",Consumer Goods Rental
"Finance, insurance, real estate, and leasing",General Rental Centres
"Finance, insurance, real estate, and leasing",Commercial and Industrial Machinery and Equipment Rental and Leasing
"Finance, insurance, real estate, and leasing",Lessors of Non-Financial Intangible Assets (Except Copyrighted Works)
"Finance, insurance, real estate, and leasing",Lessors of Non-Financial Intangible Assets (Except Copyrighted Works)
"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services"
"Professional, Scientific and Technical Services",Legal Services
"Professional, Scientific and Technical Services","Accounting, Tax Preparation, Bookkeeping and Payroll Services"
"Professional, Scientific and Technical Services","Architectural, Engineering and Related Services"
"Professional, Scientific and Technical Services",Specialized Design Services
"Professional, Scientific and Technical Services",Computer Systems Design and Related Services
"Professional, Scientific and Technical Services","Management, Scientific and Technical Consulting Services"
"Professional, Scientific and Technical Services",Scientific Research and Development Services
"Professional, Scientific and Technical Services",Advertising and Related Services
"Professional, Scientific and Technical Services","Other Professional, Scientific and Technical Services"
"Business, building, and other support services",Administrative and Support Services
"Business, building, and other support services",Office Administrative Services
"Business, building, and other support services",Facilities Support Services
"Business, building, and other support services",Employment Services
"Business, building, and other support services",Business Support Services
"Business, building, and other support services",Travel Arrangement and Reservation Services
"Business, building, and other support services",Investigation and Security Services
"Business, building, and other support services",Services to Buildings and Dwellings
"Business, building, and other support services",Other Support Services
"Business, building, and other support services",Waste Management and Remediation Services
"Business, building, and other support services",Waste Collection
"Business, building, and other support services",Waste Treatment and Disposal
"Business, building, and other support services",Remediation and Other Waste Management Services
Educational Services,Educational Services
Educational Services,Elementary and Secondary Schools
Educational Services,Community Colleges and C.E.G.E.P.s
Educational Services,Universities
Educational Services,Business Schools and Computer and Management Training
Educational Services,Technical and Trade Schools
Educational Services,Other Schools and Instruction
Educational Services,Educational Support Services
Health Care and Social Assistance,Health Care and Social Assistance
Health Care and Social Assistance,Ambulatory Health Care Services
Health Care and Social Assistance,Offices of Physicians
Health Care and Social Assistance,Offices of Dentists
Health Care and Social Assistance,Offices of Other Health Practitioners
Health Care and Social Assistance,Out-Patient Care Centres
Health Care and Social Assistance,Medical and Diagnostic Laboratories
Health Care and Social Assistance,Home Health Care Services
Health Care and Social Assistance,Other Ambulatory Health Care Services
Health Care and Social Assistance,Hospitals
Health Care and Social Assistance,General Medical and Surgical Hospitals
Health Care and Social Assistance,Psychiatric and Substance Abuse Hospitals
Health Care and Social Assistance,Specialty (except Psychiatric and Substance Abuse) Hospitals
Health Care and Social Assistance,Nursing and Residential Care Facilities
Health Care and Social Assistance,Nursing Care Facilities
Health Care and Social Assistance,"Residential Developmental Handicap, Mental Health and Substance Abuse Facilities"
Health Care and Social Assistance,Community Care Facilities for the Elderly
Health Care and Social Assistance,Other Residential Care Facilities
Health Care and Social Assistance,Social Assistance
Health Care and Social Assistance,Individual and Family Services
Health Care and Social Assistance,"Community Food and Housing, and Emergency and Other Relief Services"
Health Care and Social Assistance,Vocational Rehabilitation Services
Health Care and Social Assistance,Child Day-Care Services
Accommodation and Food Services,Accommodation Services
Accommodation and Food Services,Traveller Accommodation
Accommodation and Food Services,RV (Recreational Vehicle) Parks and Recreational Camps
Accommodation and Food Services,Rooming and Boarding Houses
Accommodation and Food Services,Food Services and Drinking Places
Accommodation and Food Services,Full-Service Restaurants
Accommodation and Food Services,Limited-Service Eating Places
Accommodation and Food Services,Special Food Services
Accommodation and Food Services,Drinking Places (Alcoholic Beverages)
Other services,Repair and Maintenance
Other services,Automotive Repair and Maintenance
Other services,Electronic and Precision Equipment Repair and Maintenance
Other services,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance
Other services,Personal and Household Goods Repair and Maintenance
Other services,Personal and Laundry Services
Other services,Personal Care Services
Other services,Funeral Services
Other services,Dry Cleaning and Laundry Services
Other services,Other Personal Services
Other services,"Religious, Grant-Making, Civic, and Professional and Similar Organizations"
Other services,Religious Organizations
Other services,Grant-Making and Giving Services
Other services,Social Advocacy Organizations
Other services,Civic and Social Organizations
Other services,"Business, Professional, Labour and Other Membership Organizations"
Other services,Private Households
Public Administration,Public Administration
