Ref_Date,GEOGRAPHY,JOBTENURE,INDUSTRY,SEX,Value
2014/02,Canada,"Total employed, all months (x 1,000)","Finance, insurance, real estate and leasing",Both sexes,1081.1
2014/03,Canada,"Total employed, all months (x 1,000)","Finance, insurance, real estate and leasing",Both sexes,1068.7
2014/04,Canada,"Total employed, all months (x 1,000)","Finance, insurance, real estate and leasing",Both sexes,1074.8
2014/05,Canada,"Total employed, all months (x 1,000)","Finance, insurance, real estate and leasing",Both sexes,1075.2
2014/06,Canada,"Total employed, all months (x 1,000)","Finance, insurance, real estate and leasing",Both sexes,1079.3
2014/07,Canada,"Total employed, all months (x 1,000)","Finance, insurance, real estate and leasing",Both sexes,1091.9
2014/08,Canada,"Total employed, all months (x 1,000)","Finance, insurance, real estate and leasing",Both sexes,1089.1
2014/09,Canada,"Total employed, all months (x 1,000)","Finance, insurance, real estate and leasing",Both sexes,1078.3
2014/10,Canada,"Total employed, all months (x 1,000)","Finance, insurance, real estate and leasing",Both sexes,1088.0
2014/11,Canada,"Total employed, all months (x 1,000)","Finance, insurance, real estate and leasing",Both sexes,1092.9
2014/12,Canada,"Total employed, all months (x 1,000)","Finance, insurance, real estate and leasing",Both sexes,1090.8
2015/01,Canada,"Total employed, all months (x 1,000)","Finance, insurance, real estate and leasing",Both sexes,1081.5
2010/01,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1164.4
2010/02,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1178.1
2010/03,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1210.9
2010/04,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1214.5
2010/05,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1218.8
2010/06,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1222.3
2010/07,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1232.2
2010/08,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1254.2
2010/09,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1213.8
2010/10,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1221.8
2010/11,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1231.8
2010/12,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1230.6
2011/01,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1233.6
2011/02,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1254.3
2011/03,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1256.4
2011/04,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1268.7
2011/05,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1268.4
2011/06,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1263.5
2011/07,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1263.0
2011/08,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1278.2
2011/09,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1267.0
2011/10,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1264.2
2011/11,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1268.2
2011/12,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1289.1
2012/01,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1287.8
2012/02,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1270.8
2012/03,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1295.8
2012/04,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1281.5
2012/05,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1277.0
2012/06,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1273.2
2012/07,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1262.3
2012/08,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1279.2
2012/09,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1256.9
2012/10,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1257.7
2012/11,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1258.7
2012/12,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1248.1
2013/01,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1258.4
2013/02,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1280.8
2013/03,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1296.8
2013/04,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1304.9
2013/05,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1301.8
2013/06,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1320.0
2013/07,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1353.9
2013/08,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1343.0
2013/09,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1315.1
2013/10,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1326.8
2013/11,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1315.1
2013/12,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1313.6
2014/01,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1319.0
2014/02,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1327.0
2014/03,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1341.6
2014/04,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1324.1
2014/05,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1331.0
2014/06,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1349.6
2014/07,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1356.6
2014/08,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1359.1
2014/09,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1325.4
2014/10,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1329.5
2014/11,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1321.6
2014/12,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1315.1
2015/01,Canada,"Total employed, all months (x 1,000)","Professional, scientific and technical services",Both sexes,1343.4
2010/01,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,651.0
2010/02,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,661.8
2010/03,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,645.0
2010/04,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,666.4
2010/05,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,700.8
2010/06,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,726.2
2010/07,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,738.0
2010/08,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,726.1
2010/09,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,709.2
2010/10,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,708.5
2010/11,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,684.1
2010/12,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,681.3
2011/01,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,670.6
2011/02,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,666.2
2011/03,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,657.3
2011/04,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,678.9
2011/05,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,718.9
2011/06,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,739.8
2011/07,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,739.0
2011/08,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,730.7
2011/09,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,702.6
2011/10,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,700.4
2011/11,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,670.0
2011/12,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,657.8
2012/01,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,644.9
2012/02,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,658.8
2012/03,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,657.9
2012/04,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,684.4
2012/05,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,722.8
2012/06,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,760.9
2012/07,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,756.9
2012/08,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,758.9
2012/09,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,715.4
2012/10,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,706.3
2012/11,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,696.4
2012/12,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,688.3
2013/01,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,677.3
2013/02,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,690.1
2013/03,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,689.2
2013/04,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,697.6
2013/05,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,758.8
2013/06,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,784.1
2013/07,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,816.9
2013/08,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,805.3
2013/09,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,775.9
2013/10,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,741.0
2013/11,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,738.1
2013/12,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,716.5
2014/01,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,679.6
2014/02,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,687.8
2014/03,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,698.7
2014/04,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,730.4
2014/05,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,763.5
2014/06,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,773.4
2014/07,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,754.7
2014/08,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,774.4
2014/09,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,752.1
2014/10,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,748.5
2014/11,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,731.8
2014/12,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,722.4
2015/01,Canada,"Total employed, all months (x 1,000)","Business, building and other support services",Both sexes,709.5
2010/01,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1216.7
2010/02,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1223.7
2010/03,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1218.1
2010/04,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1224.4
2010/05,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1191.7
2010/06,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1188.2
2010/07,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,966.6
2010/08,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,976.3
2010/09,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1161.1
2010/10,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1196.0
2010/11,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1218.6
2010/12,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1214.6
2011/01,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1197.8
2011/02,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1219.5
2011/03,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1216.7
2011/04,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1234.1
2011/05,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1202.6
2011/06,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1193.4
2011/07,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,956.5
2011/08,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,975.9
2011/09,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1177.4
2011/10,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1213.5
2011/11,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1234.2
2011/12,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1221.3
2012/01,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1234.4
2012/02,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1261.1
2012/03,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1239.1
2012/04,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1256.2
2012/05,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1233.3
2012/06,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1235.5
2012/07,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1008.0
2012/08,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1005.4
2012/09,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1208.6
2012/10,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1268.1
2012/11,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1282.7
2012/12,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1282.6
2013/01,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1284.0
2013/02,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1286.4
2013/03,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1275.6
2013/04,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1287.3
2013/05,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1262.3
2013/06,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1262.5
2013/07,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1005.5
2013/08,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1005.2
2013/09,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1229.2
2013/10,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1270.8
2013/11,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1281.1
2013/12,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1267.8
2014/01,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1264.2
2014/02,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1277.1
2014/03,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1269.5
2014/04,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1269.0
2014/05,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1266.9
2014/06,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1255.2
2014/07,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1050.6
2014/08,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1032.2
2014/09,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1261.2
2014/10,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1285.9
2014/11,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1302.7
2014/12,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1307.7
2015/01,Canada,"Total employed, all months (x 1,000)",Educational services,Both sexes,1315.5
2010/01,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,1993.3
2010/02,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2009.0
2010/03,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2014.5
2010/04,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2018.8
2010/05,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2036.2
2010/06,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2075.2
2010/07,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2072.8
2010/08,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2074.1
2010/09,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2040.6
2010/10,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2052.4
2010/11,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2056.3
2010/12,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2056.0
2011/01,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2059.9
2011/02,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2064.8
2011/03,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2051.0
2011/04,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2056.1
2011/05,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2075.6
2011/06,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2097.7
2011/07,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2103.0
2011/08,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2112.9
2011/09,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2081.0
2011/10,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2089.9
2011/11,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2103.7
2011/12,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2114.2
2012/01,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2101.6
2012/02,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2106.6
2012/03,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2118.8
2012/04,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2115.2
2012/05,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2142.6
2012/06,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2149.6
2012/07,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2158.2
2012/08,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2149.5
2012/09,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2147.0
2012/10,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2161.9
2012/11,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2167.2
2012/12,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2173.8
2013/01,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2167.6
2013/02,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2179.4
2013/03,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2187.1
2013/04,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2206.0
2013/05,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2208.6
2013/06,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2206.7
2013/07,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2178.7
2013/08,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2203.7
2013/09,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2176.3
2013/10,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2189.1
2013/11,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2186.6
2013/12,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2188.4
2014/01,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2185.6
2014/02,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2191.1
2014/03,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2194.0
2014/04,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2211.6
2014/05,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2224.3
2014/06,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2227.1
2014/07,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2232.2
2014/08,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2229.7
2014/09,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2225.9
2014/10,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2228.7
2014/11,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2244.5
2014/12,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2241.5
2015/01,Canada,"Total employed, all months (x 1,000)",Health care and social assistance,Both sexes,2243.3
2010/01,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,717.2
2010/02,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,728.9
2010/03,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,721.3
2010/04,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,731.8
2010/05,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,758.2
2010/06,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,802.5
2010/07,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,850.6
2010/08,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,820.6
2010/09,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,764.6
2010/10,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,765.9
2010/11,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,745.8
2010/12,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,745.6
2011/01,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,748.9
2011/02,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,755.7
2011/03,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,745.7
2011/04,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,731.5
2011/05,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,788.7
2011/06,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,822.6
2011/07,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,861.7
2011/08,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,841.2
2011/09,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,759.7
2011/10,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,751.0
2011/11,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,729.6
2011/12,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,726.9
2012/01,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,712.4
2012/02,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,732.6
2012/03,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,746.9
2012/04,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,739.7
2012/05,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,768.5
2012/06,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,782.0
2012/07,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,835.7
2012/08,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,819.8
2012/09,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,767.3
2012/10,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,753.8
2012/11,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,729.7
2012/12,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,720.8
2013/01,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,715.9
2013/02,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,728.3
2013/03,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,738.1
2013/04,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,724.6
2013/05,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,768.2
2013/06,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,790.7
2013/07,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,821.8
2013/08,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,824.5
2013/09,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,756.9
2013/10,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,748.8
2013/11,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,732.3
2013/12,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,730.6
2014/01,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,730.4
2014/02,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,739.3
2014/03,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,739.3
2014/04,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,738.8
2014/05,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,782.8
2014/06,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,788.0
2014/07,Canada,"Total employed, all months (x 1,000)","Information, culture and recreation",Both sexes,832.0
